Data,Bebidas_Cantidad,Bebidas_Ventas,Comida_Cantidad,Comida_Ventas,Otros_Cantitdad,Otros_Ventas,Total_Cantidad,Total_Ventas,,,
06/07/2019,400,861.60,220,696.50,1236,3710.10,1856,5268.20,,,
07/07/2019,256,564.00,151,488.00,15,15.80,422,1067.80,,,
08/07/2019,207,444.95,115,395.10,14,47.40,336,887.45,,,
09/07/2019,222,473.80,127,454.70,22,36.40,371,964.90,,,
10/07/2019,237,503.42,124,381.80,16,63.20,377,948.42,,,
11/07/2019,269,573.97,143,455.00,14,75.90,426,1104.87,,,
12/07/2019,216,463.95,131,430.39,13,36.40,360,930.74,,,
13/07/2019,295,644.32,182,592.62,22,86.90,499,1323.84,,,
14/07/2019,246,557.67,161,547.44,3,15.80,410,1120.91,,,
15/07/2019,152,329.45,68,200.20,7,15.80,227,545.45,,,
16/07/2019,212,449.87,114,385.60,15,49.10,341,884.57,,,
17/07/2019,232,492.77,126,437.60,7,20.60,365,950.97,,,
18/07/2019,216,458.33,120,398.90,13,20.60,349,877.83,,,
19/07/2019,315,706.30,189,545.90,25,71.10,529,1323.30,,,
20/07/2019,91,198.45,47,179.30,3,23.70,141,401.45,,,
21/07/2019,198,420.05,133,430.40,13,47.40,344,897.85,,,
22/07/2019,230,503.40,162,599.70,22,109.20,414,1212.30,,,
23/07/2019,260,536.10,162,466.10,20,39.50,442,1041.70,,,
24/07/2019,131,287.25,69,237.90,8,31.60,208,556.75,,,
25/07/2019,201,419.30,102,343.80,13,63.20,316,826.30,,,
26/07/2019,180,416.35,104,331.70,8,15.80,292,763.85,,,
27/07/2019,234,528.40,167,562.90,17,47.40,418,1138.70,,,
28/07/2019,234,481.20,137,443.90,4,31.60,375,956.70,,,
29/07/2019,193,394.45,124,384.40,18,75.90,335,854.75,,,
30/07/2019,195,402.10,143,455.90,12,47.40,350,905.40,,,
31/07/2019,179,369.00,114,386.20,13,55.30,306,810.50,,,
01/08/2019,211,433.00,102,341.30,19,39.50,332,813.80,,,
02/08/2019,190,386.90,89,286.50,6,12.70,285,686.10,,,
03/08/2019,194,418.50,118,350.00,5,12.70,317,781.20,,,
04/08/2019,210,439.35,130,451.50,15,60.10,355,950.95,,,
05/08/2019,175,358.35,102,374.20,12,7.90,289,740.45,,,
06/08/2019,170,366.10,117,366.30,15,57.00,302,789.40,,,
07/08/2019,223,470.50,136,444.90,15,39.50,374,954.90,,,
08/08/2019,238,492.80,163,488.30,12,23.70,413,1004.80,,,
09/08/2019,233,479.45,152,497.30,13,60.10,398,1036.85,,,
10/08/2019,227,508.85,173,561.90,8,4.80,408,1075.55,,,
11/08/2019,254,544.25,196,666.40,20,41.20,470,1251.85,,,
12/08/2019,173,354.00,112,383.70,10,39.50,295,777.20,,,
13/08/2019,182,368.15,107,384.50,9,15.80,298,768.45,,,
14/08/2019,186,379.70,115,382.10,24,23.70,325,785.50,,,
